userId|movieId|rating
2|1|3.5
3|1|4.0
4|1|3.0
5|1|4.0
8|1|4.0
10|1|3.5
12|1|4.0
13|1|4.0
18|1|3.0
26|1|3.0
36|1|5.0
43|1|4.0
47|1|2.0
50|1|4.0
51|1|4.0
56|1|2.0
57|1|4.0
64|1|4.0
66|1|3.0
67|1|3.0
69|1|3.0
73|1|3.0
75|1|5.0
77|1|4.0
82|1|4.0
86|1|5.0
90|1|5.0
93|1|5.0
95|1|5.0
96|1|5.0
98|1|5.0
109|1|4.0
110|1|4.0
111|1|4.5
112|1|3.0
120|1|5.0
125|1|4.0
127|1|5.0
130|1|3.0
132|1|4.0
143|1|5.0
147|1|4.0
152|1|5.0
158|1|5.0
160|1|4.5
162|1|5.0
163|1|3.5
166|1|4.0
167|1|4.0
171|1|4.5
175|1|4.0
176|1|3.0
186|1|5.0
187|1|3.5
188|1|5.0
197|1|3.5
198|1|3.0
200|1|4.0
201|1|3.0
211|1|5.0
216|1|4.0
217|1|4.5
221|1|4.0
224|1|2.5
226|1|3.0
227|1|4.0
228|1|3.5
229|1|5.0
230|1|5.0
233|1|4.0
235|1|4.5
236|1|4.0
242|1|1.0
243|1|2.5
249|1|5.0
256|1|4.0
257|1|4.5
259|1|5.0
261|1|4.0
265|1|4.0
279|1|2.0
285|1|3.0
292|1|3.5
296|1|3.5
297|1|5.0
298|1|5.0
301|1|3.0
302|1|5.0
304|1|4.0
312|1|4.0
318|1|3.5
319|1|3.0
321|1|3.5
323|1|4.5
325|1|3.0
329|1|5.0
339|1|3.5
340|1|4.0
341|1|3.0
350|1|4.0
353|1|3.0
354|1|4.0
355|1|5.0
358|1|4.0
359|1|5.0
360|1|3.0
364|1|4.0
368|1|4.0
369|1|5.0
370|1|3.0
371|1|5.0
372|1|4.0
373|1|3.5
379|1|3.0
380|1|2.0
381|1|5.0
386|1|4.0
392|1|5.0
396|1|4.0
402|1|4.5
405|1|4.0
407|1|3.0
409|1|4.0
411|1|4.5
413|1|3.5
414|1|4.0
416|1|3.0
421|1|4.0
422|1|4.0
424|1|4.0
426|1|2.5
428|1|5.0
