movieId|title|rating_mean
1|Toy Story (1995)|3.8969574036511156
2|Jumanji (1995)|3.305830039525692
3|Grumpier Old Men (1995)|3.1695238095238096
4|Waiting to Exhale (1995)|2.943298969072165
5|Father of the Bride Part II (1995)|3.133462282398453
6|Heat (1995)|3.852799227799228
7|Sabrina (1995)|3.4049815498154983
8|Tom and Huck (1995)|3.456896551724138
9|Sudden Death (1995)|3.0920245398773005
10|GoldenEye (1995)|3.4603580562659846
11|American President, The (1995)|3.6733067729083664
12|Dracula: Dead and Loving It (1995)|2.611842105263158
13|Balto (1995)|3.3541666666666665
14|Nixon (1995)|3.3835341365461846
15|Cutthroat Island (1995)|2.7772727272727273
16|Casino (1995)|3.8126550868486353
17|Sense and Sensibility (1995)|3.966183574879227
18|Four Rooms (1995)|3.397233201581028
19|Ace Ventura: When Nature Calls (1995)|2.5907103825136613
20|Money Train (1995)|2.832258064516129
21|Get Shorty (1995)|3.5416248746238717
22|Copycat (1995)|3.332493702770781
23|Assassins (1995)|3.190909090909091
24|Powder (1995)|3.1873065015479876
25|Leaving Las Vegas (1995)|3.596830985915493
26|Othello (1995)|3.5871559633027523
27|Now and Then (1995)|3.2465753424657535
28|Persuasion (1995)|3.96
29|City of Lost Children, The (Cit?? des enfants perdus, La) (1995)|3.919034090909091
30|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|3.511904761904762
31|Dangerous Minds (1995)|3.2878048780487803
32|Twelve Monkeys (a.k.a. 12 Monkeys) (1995)|3.8880633977216443
33|Wings of Courage (1995)|4.5
34|Babe (1995)|3.6105839416058396
35|Carrington (1995)|3.4814814814814814
36|Dead Man Walking (1995)|3.9213349225268175
37|Across the Sea of Time (1995)|3.75
38|It Takes Two (1995)|2.75
39|Clueless (1995)|3.410414827890556
40|Cry, the Beloved Country (1995)|3.5483870967741935
41|Richard III (1995)|3.850515463917526
42|Dead Presidents (1995)|3.195
43|Restoration (1995)|3.335294117647059
44|Mortal Kombat (1995)|2.734762979683973
45|To Die For (1995)|3.3110795454545454
46|How to Make an American Quilt (1995)|3.31640625
47|Seven (a.k.a. Se7en) (1995)|4.07731718677224
48|Pocahontas (1995)|3.035273368606702
49|When Night Is Falling (1995)|2.857142857142857
50|Usual Suspects, The (1995)|4.309235269536147
51|Guardian Angel (1994)|3.25
52|Mighty Aphrodite (1995)|3.466321243523316
53|Lamerica (1994)|3.0
54|Big Green, The (1995)|2.849056603773585
55|Georgia (1995)|2.9791666666666665
56|Kids of the Round Table (1995)|3.25
57|Home for the Holidays (1995)|3.4329896907216493
58|Postman, The (Postino, Il) (1994)|4.024361948955916
59|Confessional, The (Confessionnal, Le) (1995)|3.611111111111111
60|Indian in the Cupboard, The (1995)|3.121863799283154
61|Eye for an Eye (1996)|3.442528735632184
62|Mr. Holland's Opus (1995)|3.78343949044586
63|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|3.0707964601769913
64|Two if by Sea (1996)|2.9407894736842106
65|Bio-Dome (1996)|2.3947368421052633
66|Lawnmower Man 2: Beyond Cyberspace (1996)|2.022935779816514
67|Two Bits (1995)|3.7142857142857144
68|French Twist (Gazon maudit) (1995)|3.5
69|Friday (1995)|3.671957671957672
70|From Dusk Till Dawn (1996)|3.3056013179571666
71|Fair Game (1995)|2.5142857142857142
72|Kicking and Screaming (1995)|3.606382978723404
73|Mis??rables, Les (1995)|3.792372881355932
74|Bed of Roses (1996)|3.363013698630137
75|Big Bully (1996)|2.3181818181818183
76|Screamers (1995)|3.0267175572519083
77|Nico Icon (1995)|3.5
78|Crossing Guard, The (1995)|2.8295454545454546
79|Juror, The (1996)|3.181395348837209
80|White Balloon, The (Badkonake sefid) (1995)|3.3947368421052633
81|Things to Do in Denver When You're Dead (1995)|3.3282442748091605
82|Antonia's Line (Antonia) (1995)|3.9375
83|Once Upon a Time... When We Were Colored (1995)|3.4444444444444446
84|Last Summer in the Hamptons (1995)|2.3333333333333335
85|Angels and Insects (1995)|3.505050505050505
86|White Squall (1996)|3.5273224043715845
87|Dunston Checks In (1996)|2.5
88|Black Sheep (1996)|3.0603015075376883
89|Nick of Time (1995)|3.161290322580645
90|The Journey of August King (1995)|2.95
92|Mary Reilly (1996)|2.882978723404255
93|Vampire in Brooklyn (1995)|2.4770114942528734
94|Beautiful Girls (1996)|3.5406976744186047
95|Broken Arrow (1996)|3.099036402569593
96|In the Bleak Midwinter (1995)|3.6666666666666665
97|Hate (Haine, La) (1995)|3.9234234234234235
98|Shopping (1994)|2.625
99|Heidi Fleiss: Hollywood Madam (1995)|2.8448275862068964
100|City Hall (1996)|3.299382716049383
101|Bottle Rocket (1996)|3.8163841807909606
102|Mr. Wrong (1996)|2.544943820224719
103|Unforgettable (1996)|3.316326530612245
104|Happy Gilmore (1996)|3.3818514007308162
105|Bridges of Madison County, The (1995)|3.346793349168646
106|Nobody Loves Me (Keiner liebt mich) (1994)|3.0
107|Muppet Treasure Island (1996)|3.236162361623616
108|Catwalk (1996)|2.6666666666666665
109|Headless Body in Topless Bar (1995)|
110|Braveheart (1995)|3.99741653418124
111|Taxi Driver (1976)|4.055647155812037
112|Rumble in the Bronx (Hont faan kui) (1995)|3.465625
113|Before and After (1996)|3.1914893617021276
114|Margaret's Museum (1995)|3.8333333333333335
115|Happiness Is in the Field (Bonheur est dans le pr??, Le) (1995)|3.5
116|Anne Frank Remembered (1995)|3.967741935483871
117|Young Poisoner's Handbook, The (1995)|3.533333333333333
118|If Lucy Fell (1996)|2.875
119|Steal Big, Steal Little (1995)|2.8055555555555554
120|Race the Sun (1996)|2.3333333333333335
121|Boys of St. Vincent, The (1992)|3.7037037037037037
122|Boomerang (1992)|2.73728813559322
123|Chungking Express (Chung Hing sam lam) (1994)|3.9306930693069306
124|Star Maker, The (Uomo delle stelle, L') (1995)|3.2222222222222223
125|Flirting With Disaster (1996)|3.671875
126|NeverEnding Story III, The (1994)|2.3181818181818183
127|Silences of the Palace, The (Saimt el Qusur) (1994)|4.5
128|Jupiter's Wife (1994)|3.5
129|Pie in the Sky (1996)|3.1666666666666665
130|Angela (1995)|3.0
131|Frankie Starlight (1995)|2.857142857142857
132|Jade (1995)|2.5697674418604652
133|Nueba Yol (1995)|
134|Sonic Outlaws (1995)|4.5
